platform_name,Date,Campaign,Insertion Order,Line Item,Creative,Revenue (USD),Impressions,Clicks,Total Conversions
DV360,5/31/2025,FY23_Q3_JP_Creative_Everyone Can_Awareness_Discover_DV360-Photoshop-Static,FY24_Q4_JP_Creative_EveryoneCan_Awareness_Discover_NA_P36037_Photoshop-BAU,DV360_FY24CC_PSP_Prospecting_JP_DSK_ST_BAU_PC_PhotoshopDC_AudienceSegment-2,DV360_FY24CC_PSP_Awareness_JP_DSK_ST_160x600_Everyonecan-PSApril2024Release_CircularNeonPortalJP_PhotoshopDC_AS2-Black,0.049045,160,0,0
DV360,5/31/2025,FY23_Q3_JP_Creative_Everyone Can_Awareness_Discover_DV360-Photoshop-Static,FY24_Q4_JP_Creative_EveryoneCan_Awareness_Discover_NA_P36037_Photoshop-BAU,DV360_FY24CC_PSP_Prospecting_JP_DSK_ST_BAU_PC_PhotoshopDC_AudienceSegment-2,DV360_FY24CC_PSP_Awareness_JP_DSK_ST_160x600_Everyonecan-PSApril2024Release_CircularNeonPortalJP_PhotoshopDC_AS2-White,0.045074,138,0,0
DV360,5/31/2025,FY23_Q3_JP_Creative_Everyone Can_Awareness_Discover_DV360-Photoshop-Static,FY24_Q4_JP_Creative_EveryoneCan_Awareness_Discover_NA_P36037_Photoshop-BAU,DV360_FY24CC_PSP_Prospecting_JP_DSK_ST_BAU_PC_PhotoshopDC_AudienceSegment-2,DV360_FY24CC_PSP_Awareness_JP_DSK_ST_300x250_Everyonecan-PSApril2024Release_CircularNeonPortalJP_PhotoshopDC_AS2-Black,0.230332,248,0,0
DV360,5/31/2025,FY23_Q3_JP_Creative_Everyone Can_Awareness_Discover_DV360-Photoshop-Static,FY24_Q4_JP_Creative_EveryoneCan_Awareness_Discover_NA_P36037_Photoshop-BAU,DV360_FY24CC_PSP_Prospecting_JP_DSK_ST_BAU_PC_PhotoshopDC_AudienceSegment-2,DV360_FY24CC_PSP_Awareness_JP_DSK_ST_300x250_Everyonecan-PSApril2024Release_CircularNeonPortalJP_PhotoshopDC_AS2-White,0.497968,537,0,0
DV360,5/31/2025,FY23_Q3_JP_Creative_Everyone Can_Awareness_Discover_DV360-Photoshop-Static,FY24_Q4_JP_Creative_EveryoneCan_Awareness_Discover_NA_P36037_Photoshop-BAU,DV360_FY24CC_PSP_Prospecting_JP_DSK_ST_BAU_PC_PhotoshopDC_AudienceSegment-2,DV360_FY24CC_PSP_Awareness_JP_DSK_ST_300x600_Everyonecan-PSApril2024Release_CircularNeonPortalJP_PhotoshopDC_AS2-Black,0.323474,289,2,0
DV360,5/31/2025,FY23_Q3_JP_Creative_Everyone Can_Awareness_Discover_DV360-Photoshop-Static,FY24_Q4_JP_Creative_EveryoneCan_Awareness_Discover_NA_P36037_Photoshop-BAU,DV360_FY24CC_PSP_Prospecting_JP_DSK_ST_BAU_PC_PhotoshopDC_AudienceSegment-2,DV360_FY24CC_PSP_Awareness_JP_DSK_ST_300x600_Everyonecan-PSApril2024Release_CircularNeonPortalJP_PhotoshopDC_AS2-White,3.550614,2395,17,0
DV360,5/31/2025,FY23_Q3_JP_Creative_Everyone Can_Awareness_Discover_DV360-Photoshop-Static,FY24_Q4_JP_Creative_EveryoneCan_Awareness_Discover_NA_P36037_Photoshop-BAU,DV360_FY24CC_PSP_Prospecting_JP_DSK_ST_BAU_PC_PhotoshopDC_AudienceSegment-2,DV360_FY24CC_PSP_Awareness_JP_DSK_ST_970x250_Everyonecan-PSApril2024Release_CircularNeonPortalJP_PhotoshopDC_AS2-Black,0.299404,127,3,0
DV360,5/31/2025,FY23_Q3_JP_Creative_Everyone Can_Awareness_Discover_DV360-Photoshop-Static,FY24_Q4_JP_Creative_EveryoneCan_Awareness_Discover_NA_P36037_Photoshop-BAU,DV360_FY24CC_PSP_Prospecting_JP_DSK_ST_BAU_PC_PhotoshopDC_AudienceSegment-2,DV360_FY24CC_PSP_Awareness_JP_DSK_ST_970x250_Everyonecan-PSApril2024Release_CircularNeonPortalJP_PhotoshopDC_AS2-White,0.328245,190,2,0
DV360,5/31/2025,FY23_Q3_JP_Creative_Everyone Can_Awareness_Discover_DV360-Photoshop-Static,FY24_Q4_JP_Creative_EveryoneCan_Awareness_Discover_NA_P36037_Photoshop-BAU,DV360_FY24CC_PSP_Prospecting_JP_DSK_ST_BAU_PC_PhotoshopDC_AudienceSegment-2,DV360_FY25CC_PSP_Awareness_JP_DSK_ST_160x600_CG2.0-Ando_Photoshop_PhotoshopDC_AS2,0.511807,1264,0,0
DV360,5/31/2025,FY23_Q3_JP_Creative_Everyone Can_Awareness_Discover_DV360-Photoshop-Static,FY24_Q4_JP_Creative_EveryoneCan_Awareness_Discover_NA_P36037_Photoshop-BAU,DV360_FY24CC_PSP_Prospecting_JP_DSK_ST_BAU_PC_PhotoshopDC_AudienceSegment-2,DV360_FY25CC_PSP_Awareness_JP_DSK_ST_160x600_CG2.0-Kusuda_Photoshop_PhotoshopDC_AS2,0.678615,1338,2,0
